theta0,theta1
10692.3,-0.0406333
10693,-0.0406397
10693.8,-0.040646
10694.5,-0.0406522
10695.2,-0.0406584
10695.9,-0.0406646
10696.6,-0.0406708
10697.3,-0.0406769
10698,-0.0406831
10698.7,-0.0406891
10699.4,-0.0406952
10700,-0.0407012
10700.7,-0.0407072
10701.4,-0.0407131
10702.1,-0.040719
10702.8,-0.0407249
10703.4,-0.0407308
10704.1,-0.0407366
10704.7,-0.0407424
10705.4,-0.0407482
10706.1,-0.0407539
10706.7,-0.0407596
10707.3,-0.0407653
10708,-0.0407709
10708.6,-0.0407766
10709.3,-0.0407822
10709.9,-0.0407877
10710.5,-0.0407933
10711.2,-0.0407988
10711.8,-0.0408043
10712.4,-0.0408097
10713,-0.0408151
10713.6,-0.0408205
10714.3,-0.0408259
10714.9,-0.0408312
10715.5,-0.0408365
10716.1,-0.0408418
10716.7,-0.0408471
10717.3,-0.0408523
10717.9,-0.0408575
10718.4,-0.0408627
10719,-0.0408679
10719.6,-0.040873
10720.2,-0.0408781
10720.8,-0.0408832
10721.3,-0.0408882
10721.9,-0.0408932
10722.5,-0.0408982
10723.1,-0.0409032
10723.6,-0.0409081
10724.2,-0.0409131
10724.7,-0.040918
10725.3,-0.0409228
10725.8,-0.0409277
10726.4,-0.0409325
10726.9,-0.0409373
10727.5,-0.0409421
10728,-0.0409468
10728.6,-0.0409515
10729.1,-0.0409562
10729.6,-0.0409609
10730.2,-0.0409655
10730.7,-0.0409702
10731.2,-0.0409748
10731.7,-0.0409793
10732.3,-0.0409839
10732.8,-0.0409884
10733.3,-0.0409929
10733.8,-0.0409974
10734.3,-0.0410019
10734.8,-0.0410063
10735.3,-0.0410107
10735.8,-0.0410151
10736.3,-0.0410195
10736.8,-0.0410239
10737.3,-0.0410282
10737.8,-0.0410325
10738.3,-0.0410368
10738.8,-0.041041
10739.2,-0.0410453
10739.7,-0.0410495
10740.2,-0.0410537
10740.7,-0.0410579
10741.2,-0.041062
10741.6,-0.0410661
10742.1,-0.0410703
10742.6,-0.0410743
10743,-0.0410784
10743.5,-0.0410825
10743.9,-0.0410865
10744.4,-0.0410905
10744.9,-0.0410945
10745.3,-0.0410984
10745.8,-0.0411024
10746.2,-0.0411063
10746.6,-0.0411102
10747.1,-0.0411141
10747.5,-0.041118
10748,-0.0411218
10748.4,-0.0411256
10748.8,-0.0411294
10749.3,-0.0411332
10749.7,-0.041137
10750.1,-0.0411407
10750.6,-0.0411445
10751,-0.0411482
10751.4,-0.0411519
10751.8,-0.0411555
10752.2,-0.0411592
10752.6,-0.0411628
10753.1,-0.0411664
10753.5,-0.04117
10753.9,-0.0411736
10754.3,-0.0411772
10754.7,-0.0411807
10755.1,-0.0411842
10755.5,-0.0411877
10755.9,-0.0411912
10756.3,-0.0411947
10756.7,-0.0411981
10757.1,-0.0412016
10757.5,-0.041205
10757.8,-0.0412084
10758.2,-0.0412118
10758.6,-0.0412151
10759,-0.0412185
10759.4,-0.0412218
10759.7,-0.0412251
10760.1,-0.0412284
10760.5,-0.0412317
10760.9,-0.041235
10761.2,-0.0412382
10761.6,-0.0412414
10762,-0.0412447
10762.3,-0.0412478
10762.7,-0.041251
10763.1,-0.0412542
10763.4,-0.0412573
10763.8,-0.0412605
10764.1,-0.0412636
10764.5,-0.0412667
10764.8,-0.0412698
10765.2,-0.0412728
10765.5,-0.0412759
10765.9,-0.0412789
10766.2,-0.0412819
10766.6,-0.0412849
10766.9,-0.0412879
10767.3,-0.0412909
10767.6,-0.0412939
10767.9,-0.0412968
10768.3,-0.0412997
10768.6,-0.0413026
10768.9,-0.0413055
10769.3,-0.0413084
10769.6,-0.0413113
10769.9,-0.0413142
10770.2,-0.041317
10770.5,-0.0413198
10770.9,-0.0413226
10771.2,-0.0413254
10771.5,-0.0413282
10771.8,-0.041331
10772.1,-0.0413337
10772.4,-0.0413365
10772.8,-0.0413392
10773.1,-0.0413419
10773.4,-0.0413446
10773.7,-0.0413473
10774,-0.04135
10774.3,-0.0413526
10774.6,-0.0413553
10774.9,-0.0413579
10775.2,-0.0413605
10775.5,-0.0413631
10775.8,-0.0413657
10776.1,-0.0413683
10776.4,-0.0413708
10776.7,-0.0413734
10776.9,-0.0413759
10777.2,-0.0413784
10777.5,-0.0413809
10777.8,-0.0413834
10778.1,-0.0413859
10778.4,-0.0413884
10778.7,-0.0413909
10778.9,-0.0413933
10779.2,-0.0413957
10779.5,-0.0413982
10779.8,-0.0414006
10780,-0.041403
10780.3,-0.0414054
10780.6,-0.0414077
10780.8,-0.0414101
10781.1,-0.0414124
10781.4,-0.0414148
10781.6,-0.0414171
10781.9,-0.0414194
10782.2,-0.0414217
10782.4,-0.041424
10782.7,-0.0414263
10783,-0.0414285
10783.2,-0.0414308
10783.5,-0.041433
10783.7,-0.0414353
10784,-0.0414375
10784.2,-0.0414397
10784.5,-0.0414419
10784.7,-0.0414441
10785,-0.0414462
10785.2,-0.0414484
10785.5,-0.0414506
10785.7,-0.0414527
10786,-0.0414548
10786.2,-0.041457
10786.4,-0.0414591
10786.7,-0.0414612
10786.9,-0.0414632
10787.2,-0.0414653
10787.4,-0.0414674
10787.6,-0.0414694
10787.9,-0.0414715
10788.1,-0.0414735
10788.3,-0.0414755
10788.5,-0.0414776
10788.8,-0.0414796
10789,-0.0414815
10789.2,-0.0414835
10789.5,-0.0414855
10789.7,-0.0414875
10789.9,-0.0414894
10790.1,-0.0414914
10790.3,-0.0414933
10790.6,-0.0414952
10790.8,-0.0414971
10791,-0.041499
10791.2,-0.0415009
10791.4,-0.0415028
10791.6,-0.0415047
10791.9,-0.0415065
10792.1,-0.0415084
10792.3,-0.0415102
10792.5,-0.0415121
10792.7,-0.0415139
10792.9,-0.0415157
